DATE,PRE,TEMP EXT,TEMP_CULTURE,PAR_LIGHT,PH,DO,OD,DRY,CELL
27/03/2024 13:12,118.75,20.7,27,12.5,8.8,23.57,0.55,0.191455,2.81E+08
27/03/2024 13:22,118.75,20.7,27.4,12.5,8.83,23.57,0.58,0.201898,2.97E+08
27/03/2024 13:32,118.75,20.7,27.8,12.5,7.19,23.35,0.62,0.215822,3.17E+08
27/03/2024 13:42,118.75,20.7,28.1,12.5,7.01,23.87,0.64,0.222784,3.27E+08
27/03/2024 13:52,118.75,20.7,27.9,12.5,7.2,23.96,0.66,0.229746,3.37E+08
27/03/2024 14:02,118.75,20.9,27.9,12.5,7.38,23.96,0.71,0.247151,3.63E+08
27/03/2024 14:12,118.75,21,27.9,12.5,7.02,24.09,0.72,0.250632,3.68E+08
27/03/2024 14:22,118.75,20.9,28.1,12.5,7.24,24.14,0.74,0.257594,3.78E+08
27/03/2024 14:32,118.75,20.9,27.9,12.5,6.85,24.18,0.75,0.261075,3.83E+08
27/03/2024 14:42,118.75,20.8,27.9,12.5,7.14,24.44,0.75,0.261075,3.83E+08
27/03/2024 14:52,118.75,21,28.1,12.5,7.35,24.57,0.74,0.257594,3.78E+08
27/03/2024 15:02,118.75,21.1,27.9,12.5,7.04,24.66,0.73,0.254113,3.73E+08
27/03/2024 15:12,118.75,21,27.9,12.5,7.3,24.96,0.71,0.247151,3.63E+08
27/03/2024 15:22,118.75,20.9,28,12.5,7.04,25.01,0.71,0.247151,3.63E+08
27/03/2024 15:32,118.75,21,27.9,12.5,7.26,25.14,0.68,0.236708,3.48E+08
27/03/2024 15:42,118.75,21.2,28,12.5,7,25.27,0.71,0.247151,3.63E+08
27/03/2024 15:52,118.75,21.1,28,12.5,7.24,25.31,0.71,0.247151,3.63E+08
27/03/2024 16:02,118.75,21.1,27.9,12.5,6.26,24.87,0.7,0.24367,3.58E+08
27/03/2024 16:12,118.75,21,27.9,12.5,6.48,25.4,0.72,0.250632,3.68E+08
27/03/2024 16:22,118.75,21.1,28.1,12.5,6.76,25.61,0.71,0.247151,3.63E+08
27/03/2024 16:32,118.75,21.2,28,12.5,6.99,25.66,0.71,0.247151,3.63E+08
27/03/2024 16:42,118.75,21.3,27.9,12.5,7.27,25.66,0.7,0.24367,3.58E+08
27/03/2024 16:52,118.75,21.1,28,12.5,6.99,25.53,0.7,0.24367,3.58E+08
27/03/2024 17:02,118.75,21.1,28,12.5,7.23,25.57,0.72,0.250632,3.68E+08
27/03/2024 17:12,118.75,21.2,27.9,12.5,7.05,25.57,0.7,0.24367,3.58E+08
27/03/2024 17:22,118.75,21.2,28,12.5,7.24,25.83,0.71,0.247151,3.63E+08
27/03/2024 17:32,118.75,21.2,28,12.5,6.99,25.79,0.71,0.247151,3.63E+08
27/03/2024 17:42,118.75,21.1,27.9,12.5,7.28,25.88,0.71,0.247151,3.63E+08
27/03/2024 17:52,118.75,21.1,28.1,12.5,7.08,25.92,0.72,0.250632,3.68E+08
27/03/2024 18:02,118.75,21.1,28,12.5,7.3,25.79,0.72,0.250632,3.68E+08
27/03/2024 18:12,118.75,21.2,27.9,12.5,7.07,25.79,0.72,0.250632,3.68E+08
27/03/2024 18:22,118.75,21.2,27.9,10,7.34,25.61,0.7,0.24367,3.58E+08
27/03/2024 18:32,118.75,21.2,28.1,10,7.11,25.57,0.71,0.247151,3.63E+08
27/03/2024 18:42,118.75,21.1,27.9,7.5,7.33,25.35,0.68,0.236708,3.48E+08
27/03/2024 18:52,118.75,21.1,28.2,7.5,7.09,25.05,0.7,0.24367,3.58E+08
27/03/2024 19:02,118.75,21.1,28.1,5,7.29,24.7,0.67,0.233227,3.43E+08
27/03/2024 19:12,118.75,21.1,27.9,5,7,24.31,0.7,0.24367,3.58E+08
27/03/2024 19:22,118.75,21,28,2.5,7.2,24.14,0.69,0.240189,3.53E+08
27/03/2024 19:32,118.75,21,28.1,2.5,7.36,23.66,0.69,0.240189,3.53E+08
27/03/2024 19:42,118.75,21,28,0,7.06,23.22,0.66,0.229746,3.37E+08
27/03/2024 19:52,118.75,21,27.9,0,7.21,22.7,0.64,0.222784,3.27E+08
27/03/2024 20:02,117.19,21,28.1,0,7.28,21.79,0.64,0.222784,3.27E+08
27/03/2024 20:12,117.19,21,27.9,0,7.37,21.53,0.63,0.219303,3.22E+08
27/03/2024 20:22,118.75,20.9,28.1,0,7.02,21.35,0.6,0.20886,3.07E+08
27/03/2024 20:32,117.19,20.9,27.9,0,7.14,21.31,0.61,0.212341,3.12E+08
27/03/2024 20:42,117.19,20.9,27.9,0,7.25,21.35,0.59,0.205379,3.02E+08
27/03/2024 20:52,117.19,20.8,28,0,7.34,21.4,0.61,0.212341,3.12E+08
27/03/2024 21:02,117.19,20.8,27.9,0,7.4,21.27,0.62,0.215822,3.17E+08
27/03/2024 21:12,117.19,20.8,27.8,0,7.06,21.22,0.61,0.212341,3.12E+08
