pipeline,seed,metric_name,scale,value
A,42,emd,OD,1.052012526063394
A,42,moment_mean,OD,2.134815931516619
A,42,moment_std,OD,0.0287250192316375
A,42,moment_skewness,OD,-0.0285003971923008
A,42,moment_kurtosis,OD,-0.0505069569506129
A,42,acf_lag0_mean,OD,1.0
A,42,acf_lag0_std,OD,0.0
A,42,acf_lag1_mean,OD,-0.080184831836529
A,42,acf_lag1_std,OD,0.2509345577391253
A,42,acf_lag2_mean,OD,-0.1017332056255899
A,42,acf_lag2_std,OD,0.2407649948429765
A,42,acf_lag3_mean,OD,-0.0853018788688255
A,42,acf_lag3_std,OD,0.2428331671618189
A,42,acf_lag4_mean,OD,-0.089380059160448
A,42,acf_lag4_std,OD,0.2357296400443965
A,42,acf_lag5_mean,OD,-0.0503012382914314
A,42,acf_lag5_std,OD,0.2121867724207715
A,42,acf_lag6_mean,OD,-0.040780443398297
A,42,acf_lag6_std,OD,0.1794196180220378
A,42,acf_lag7_mean,OD,-0.0290222479620024
A,42,acf_lag7_std,OD,0.1599628088835241
A,42,acf_lag8_mean,OD,-0.0009629344388128
A,42,acf_lag8_std,OD,0.1308486522940563
A,42,acf_lag9_mean,OD,-0.0223331604180635
A,42,acf_lag9_std,OD,0.1005610141993345
A,42,dtw_mean,OD,1.3855047257533757
A,42,dtw_median,OD,1.3883639629118751
A,42,dtw_std,OD,0.1031951358485047
A,43,emd,OD,1.0514456647833843
A,43,moment_mean,OD,2.1351553879317953
A,43,moment_std,OD,0.0298524725519537
A,43,moment_skewness,OD,0.0091667162870685
A,43,moment_kurtosis,OD,-0.1342527945878582
A,43,acf_lag0_mean,OD,1.0
A,43,acf_lag0_std,OD,0.0
A,43,acf_lag1_mean,OD,-0.1119529034047126
A,43,acf_lag1_std,OD,0.2612495250742095
A,43,acf_lag2_mean,OD,-0.0962441863681953
A,43,acf_lag2_std,OD,0.2617651981187572
A,43,acf_lag3_mean,OD,-0.0890895766982163
A,43,acf_lag3_std,OD,0.240738576243886
A,43,acf_lag4_mean,OD,-0.0509305556759977
A,43,acf_lag4_std,OD,0.230569777763983
